elapsed_ms,current_diff,current_A,distance_cm,command
50,0,0,255,STOP
154,0,0,255,STOP
265,0,0,255,STOP
352,0,0,255,STOP
470,0,0,255,STOP
573,0,0,255,STOP
669,0,0,255,STOP
759,0,0,255,STOP
865,0,0,255,STOP
952,0,0,242,STOP
1052,0,0,255,STOP
1175,0,0,255,STOP
1255,0,0,255,STOP
1361,0,0,255,STOP
1474,0,0,255,STOP
1574,0,0,255,STOP
1678,0,0,255,STOP
1759,0,0,255,STOP
1872,0,0,255,STOP
1959,0,0,255,STOP
2071,0,0,255,STOP
2182,0,0,242,STOP
2272,0,0,255,STOP
2380,0,0,255,STOP
2464,0,0,255,STOP
2580,0,0,255,FORWARD
2668,13,0.636,255,FORWARD
2791,11,0.538,255,FORWARD
2875,10,0.489,255,FORWARD
2989,10,0.489,255,FORWARD
3075,10,0.489,255,FORWARD
3184,11,0.538,247,FORWARD
3273,10,0.489,227,FORWARD
3384,7,0.342,255,FORWARD
3478,9,0.44,255,FORWARD
3591,8,0.391,255,FORWARD
3671,8,0.391,255,FORWARD
3780,9,0.44,255,FORWARD
3885,10,0.489,255,FORWARD
3973,10,0.489,255,FORWARD
4085,7,0.342,255,FORWARD
4175,7,0.342,255,FORWARD
4289,9,0.44,255,FORWARD
4373,9,0.44,177,FORWARD
4487,9,0.44,255,FORWARD
4575,7,0.342,252,FORWARD
4682,9,0.44,248,FORWARD
4787,9,0.44,244,FORWARD
4885,9,0.44,239,FORWARD
4999,7,0.342,235,FORWARD
5098,7,0.342,231,FORWARD
5185,10,0.489,226,FORWARD
5298,9,0.44,176,FORWARD
5383,9,0.44,144,FORWARD
5501,11,0.538,213,FORWARD
5580,10,0.489,209,FORWARD
5686,9,0.44,206,FORWARD
5791,8,0.391,203,FORWARD
5880,7,0.342,197,FORWARD
5990,9,0.44,194,FORWARD
6099,9,0.44,192,FORWARD
6187,8,0.391,186,FORWARD
6305,8,0.391,182,FORWARD
6385,7,0.342,95,FORWARD
6502,7,0.342,174,FORWARD
6582,10,0.489,170,FORWARD
6690,9,0.44,167,FORWARD
6794,8,0.391,165,FORWARD
6905,7,0.342,163,FORWARD
6995,10,0.489,158,FORWARD
7107,9,0.44,154,FORWARD
7191,8,0.391,149,FORWARD
7303,8,0.391,146,FORWARD
7394,9,0.44,58,FORWARD
7500,9,0.44,137,FORWARD
7609,9,0.44,134,FORWARD
7692,8,0.391,130,FORWARD
7797,9,0.44,125,FORWARD
7908,9,0.44,121,FORWARD
7997,9,0.44,135,FORWARD
8090,9,0.44,118,FORWARD
8210,7,0.342,125,FORWARD
8310,8,0.391,109,FORWARD
8400,11,0.538,101,FORWARD
8511,8,0.391,97,FORWARD
8601,9,0.44,56,FORWARD
8714,11,0.538,95,FORWARD
8817,9,0.44,84,FORWARD
8898,9,0.44,81,FORWARD
9004,9,0.44,74,FORWARD
9115,10,0.489,70,FORWARD
9202,9,0.44,89,FORWARD
9316,8,0.391,96,FORWARD
9401,8,0.391,92,FORWARD
9511,10,0.489,87,FORWARD
9599,10,0.489,54,FORWARD
9710,9,0.44,54,FORWARD
9820,8,0.391,75,FORWARD
9917,9,0.44,59,FORWARD
10028,10,0.489,66,FORWARD
10115,9,0.44,142,FORWARD
10231,0,0,58,STOP
10325,0,0,133,STOP
10417,0,0,132,STOP
10528,0,0,97,STOP
10641,0,0,130,STOP
10719,0,0,116,STOP
10838,0,0,131,STOP
10944,0,0,116,STOP
11032,0,0,134,STOP
11145,0,0,131,STOP
11225,0,0,131,STOP
11332,0,0,130,STOP
11448,0,0,130,STOP
11535,0,0,131,STOP
11640,0,0,130,STOP
11734,0,0,129,STOP
11831,0,0,84,STOP
11942,0,0,129,STOP
12029,0,0,51,STOP
12138,0,0,98,STOP
12254,1,0.049,138,STOP
12356,0,0,173,STOP
12439,1,0.049,219,STOP
12558,0,0,0,STOP
12642,0,0,251,STOP
12759,0,0,0,STOP
12870,0,0,0,STOP
12969,1,0.049,0,STOP
13067,0,0,0,STOP
13179,0,0,0,STOP
13266,1,0.049,0,STOP
13378,0,0,0,STOP
13467,0,0,0,STOP
13582,0,0,0,STOP
13662,0,0,0,STOP
13768,0,0,0,STOP
13872,0,0,0,STOP
13974,0,0,0,STOP
14087,0,0,0,STOP
14173,0,0,0,STOP
14282,0,0,0,STOP
14369,0,0,0,STOP
14481,0,0,0,STOP
14577,0,0,0,STOP
14694,0,0,0,FORWARD
14778,9,0.782,0,FORWARD
14892,10,0.587,0,FORWARD
14972,11,0.538,0,FORWARD
15080,10,0.489,0,FORWARD
15182,10,0.489,0,FORWARD
15288,9,0.44,0,FORWARD
