elapsed_ms,current_diff,current_A,distance_cm,command
28,0,0,255,STOP
63,0,0,255,STOP
190,0,0,255,STOP
276,0,0,255,STOP
389,0,0,255,STOP
470,0,0,255,STOP
577,0,0,255,STOP
674,0,0,255,STOP
788,0,0,255,STOP
875,0,0,255,STOP
985,0,0,255,STOP
1097,0,0,255,STOP
1184,0,0,255,STOP
1294,0,0,255,STOP
1375,0,0,255,STOP
1494,0,0,255,STOP
1598,0,0,255,STOP
1679,0,0,255,STOP
1779,0,0,255,STOP
1886,0,0,255,STOP
1994,0,0,255,STOP
2080,0,0,255,STOP
2193,0,0,255,STOP
2301,0,0,255,STOP
2389,0,0,255,STOP
2500,0,0,255,STOP
2587,0,0,255,STOP
2701,0,0,255,FORWARD
2783,12,0.587,255,FORWARD
2888,15,0.734,255,FORWARD
2996,13,0.636,255,FORWARD
3108,13,0.636,255,FORWARD
3203,12,0.587,255,FORWARD
3282,14,0.685,255,FORWARD
3396,13,0.636,255,FORWARD
3491,13,0.636,255,FORWARD
3579,16,0.782,69,FORWARD
3693,15,0.734,149,FORWARD
3803,14,0.685,148,FORWARD
3886,13,0.636,143,FORWARD
3985,14,0.685,142,FORWARD
4090,18,0.88,140,FORWARD
4188,14,0.685,139,FORWARD
4287,17,0.831,138,FORWARD
4401,14,0.685,137,FORWARD
4493,12,0.587,95,FORWARD
4601,16,0.782,98,FORWARD
4689,13,0.636,98,FORWARD
4803,12,0.587,48,FORWARD
4882,15,0.734,43,FORWARD
4987,16,0.782,46,FORWARD
5104,14,0.685,46,FORWARD
5194,14,0.685,128,FORWARD
5307,16,0.782,43,FORWARD
5393,15,0.734,43,FORWARD
5504,13,0.636,183,FORWARD
5613,14,0.685,229,FORWARD
5699,17,0.831,225,FORWARD
5811,15,0.734,181,FORWARD
5895,17,0.831,92,FORWARD
6014,14,0.685,131,FORWARD
6096,14,0.685,127,FORWARD
6195,17,0.831,99,FORWARD
6312,13,0.636,93,FORWARD
6403,14,0.685,91,FORWARD
6504,13,0.636,90,FORWARD
6595,16,0.782,90,FORWARD
6696,17,0.831,87,FORWARD
6808,17,0.831,86,FORWARD
6918,17,0.831,85,FORWARD
7006,14,0.685,85,FORWARD
7102,17,0.831,86,FORWARD
7207,15,0.734,87,FORWARD
7314,15,0.734,121,FORWARD
7422,17,0.831,119,FORWARD
7508,15,0.734,119,FORWARD
7617,15,0.734,134,FORWARD
7705,14,0.685,147,FORWARD
7816,13,0.636,200,FORWARD
7934,14,0.685,255,FORWARD
8024,13,0.636,255,FORWARD
8133,14,0.685,255,FORWARD
8224,13,0.636,207,FORWARD
8340,13,0.636,255,FORWARD
8416,14,0.685,255,FORWARD
8520,13,0.636,147,FORWARD
8614,14,0.685,147,FORWARD
8729,14,0.685,144,FORWARD
8817,14,0.685,142,FORWARD
8926,16,0.782,140,FORWARD
9019,16,0.782,138,FORWARD
9127,17,0.831,138,FORWARD
9225,16,0.782,53,FORWARD
9333,10,0.489,136,FORWARD
9414,12,0.587,143,FORWARD
9526,17,0.831,48,FORWARD
9630,16,0.782,48,FORWARD
9720,13,0.636,145,FORWARD
9824,14,0.685,41,FORWARD
9913,14,0.685,41,FORWARD
10026,16,0.782,97,FORWARD
10135,16,0.782,97,FORWARD
10224,14,0.685,81,FORWARD
10336,13,0.636,255,FORWARD
10447,17,0.831,228,FORWARD
10527,15,0.734,183,FORWARD
10636,16,0.782,175,FORWARD
10724,13,0.636,132,FORWARD
10830,0,0,255,STOP
10930,0,0,255,STOP
11031,0,0,255,STOP
11131,0,0,255,FORWARD
11232,12,0.587,255,FORWARD
11332,15,0.734,255,FORWARD
11433,13,0.636,255,FORWARD
11533,13,0.636,255,FORWARD
11634,12,0.587,255,FORWARD
11734,14,0.685,255,FORWARD
11835,13,0.636,255,FORWARD
11935,13,0.636,255,FORWARD
12036,16,0.782,69,FORWARD
12136,15,0.734,149,FORWARD
12237,14,0.685,148,FORWARD
12337,13,0.636,143,FORWARD
12437,14,0.685,142,FORWARD
12538,18,0.88,140,FORWARD
12638,14,0.685,139,FORWARD
12739,17,0.831,138,FORWARD
12839,14,0.685,137,FORWARD
12940,12,0.587,95,FORWARD
13040,16,0.782,98,FORWARD
13141,13,0.636,98,FORWARD
13241,12,0.587,48,FORWARD
13342,15,0.734,43,FORWARD
13442,16,0.782,46,FORWARD
13543,14,0.685,46,FORWARD
13643,14,0.685,128,FORWARD
13744,16,0.782,43,FORWARD
13844,15,0.734,43,FORWARD
13945,13,0.636,183,FORWARD
14045,14,0.685,229,FORWARD
14146,17,0.831,225,FORWARD
14246,15,0.734,181,FORWARD
14347,17,0.831,92,FORWARD
14447,14,0.685,131,FORWARD
14548,14,0.685,127,FORWARD
14648,17,0.831,99,FORWARD
14749,13,0.636,93,FORWARD
14849,14,0.685,91,FORWARD
14950,13,0.636,90,FORWARD
15050,16,0.782,90,FORWARD
15150,17,0.831,87,FORWARD
15251,17,0.831,86,FORWARD
15351,17,0.831,85,FORWARD
15452,14,0.685,85,FORWARD
15552,17,0.831,86,FORWARD
15653,15,0.734,87,FORWARD
15753,15,0.734,121,FORWARD
15854,17,0.831,119,FORWARD
15954,15,0.734,119,FORWARD
16055,15,0.734,134,FORWARD
16155,14,0.685,147,FORWARD
16256,13,0.636,200,FORWARD
16356,14,0.685,255,FORWARD
16457,13,0.636,255,FORWARD
16557,14,0.685,255,FORWARD
16658,13,0.636,207,FORWARD
16758,13,0.636,255,FORWARD
16859,14,0.685,255,FORWARD
16959,13,0.636,147,FORWARD
17060,14,0.685,147,FORWARD
17160,14,0.685,144,FORWARD
17261,14,0.685,142,FORWARD
17361,16,0.782,140,FORWARD
17462,16,0.782,138,FORWARD
17562,17,0.831,138,FORWARD
17663,16,0.782,53,FORWARD
17763,10,0.489,136,FORWARD
17863,12,0.587,143,FORWARD
17964,17,0.831,48,FORWARD
18064,16,0.782,48,FORWARD
18165,13,0.636,145,FORWARD
18265,14,0.685,41,FORWARD
18366,14,0.685,41,FORWARD
18466,16,0.782,97,FORWARD
18567,16,0.782,97,FORWARD
18667,14,0.685,81,FORWARD
18768,13,0.636,255,FORWARD
18868,17,0.831,228,FORWARD
18969,15,0.734,183,FORWARD
19069,16,0.782,175,FORWARD
19170,13,0.636,132,FORWARD
19270,0,0,255,STOP
19371,0,0,255,STOP
19471,0,0,255,STOP
19572,0,0,255,FORWARD
19672,12,0.587,255,FORWARD
19773,15,0.734,255,FORWARD
19873,13,0.636,255,FORWARD
19974,13,0.636,255,FORWARD
20074,12,0.587,255,FORWARD
20175,14,0.685,255,FORWARD
20275,13,0.636,255,FORWARD
20376,13,0.636,255,FORWARD
20476,16,0.782,69,FORWARD
20576,15,0.734,149,FORWARD
20677,14,0.685,148,FORWARD
20777,13,0.636,143,FORWARD
20878,14,0.685,142,FORWARD
20978,18,0.88,140,FORWARD
21079,14,0.685,139,FORWARD
21179,17,0.831,138,FORWARD
21280,14,0.685,137,FORWARD
21380,12,0.587,95,FORWARD
21481,16,0.782,98,FORWARD
21581,13,0.636,98,FORWARD
21682,12,0.587,48,FORWARD
21782,15,0.734,43,FORWARD
21883,16,0.782,46,FORWARD
21983,14,0.685,46,FORWARD
22084,14,0.685,128,FORWARD
22184,16,0.782,43,FORWARD
22285,15,0.734,43,FORWARD
22385,13,0.636,183,FORWARD
22486,14,0.685,229,FORWARD
22586,17,0.831,225,FORWARD
22687,15,0.734,181,FORWARD
22787,17,0.831,92,FORWARD
22888,14,0.685,131,FORWARD
22988,14,0.685,127,FORWARD
23089,17,0.831,99,FORWARD
23189,13,0.636,93,FORWARD
23289,14,0.685,91,FORWARD
23390,13,0.636,90,FORWARD
23490,16,0.782,90,FORWARD
23591,17,0.831,87,FORWARD
23691,17,0.831,86,FORWARD
23792,17,0.831,85,FORWARD
23892,14,0.685,85,FORWARD
23993,17,0.831,86,FORWARD
24093,15,0.734,87,FORWARD
24194,15,0.734,121,FORWARD
24294,17,0.831,119,FORWARD
24395,15,0.734,119,FORWARD
24495,15,0.734,134,FORWARD
24596,14,0.685,147,FORWARD
24696,13,0.636,200,FORWARD
24797,14,0.685,255,FORWARD
24897,13,0.636,255,FORWARD
24998,14,0.685,255,FORWARD
25098,13,0.636,207,FORWARD
25199,13,0.636,255,FORWARD
25299,14,0.685,255,FORWARD
25400,13,0.636,147,FORWARD
25500,14,0.685,147,FORWARD
25601,14,0.685,144,FORWARD
25701,14,0.685,142,FORWARD
25802,16,0.782,140,FORWARD
25902,16,0.782,138,FORWARD
26003,17,0.831,138,FORWARD
26103,16,0.782,53,FORWARD
26203,10,0.489,136,FORWARD
26304,12,0.587,143,FORWARD
26404,17,0.831,48,FORWARD
26505,16,0.782,48,FORWARD
26605,13,0.636,145,FORWARD
26706,14,0.685,41,FORWARD
26806,14,0.685,41,FORWARD
26907,16,0.782,97,FORWARD
27007,16,0.782,97,FORWARD
27108,14,0.685,81,FORWARD
27208,13,0.636,255,FORWARD
27309,17,0.831,228,FORWARD
27409,15,0.734,183,FORWARD
27510,16,0.782,175,FORWARD
27610,13,0.636,132,FORWARD
27711,0,0,255,STOP
27811,0,0,255,STOP
27912,0,0,255,STOP
28012,0,0,255,STOP
28113,0,0,255,STOP
28213,0,0,255,STOP
28314,0,0,255,STOP
28414,0,0,255,STOP
28515,0,0,255,STOP
28615,0,0,255,STOP
28716,0,0,255,STOP
28816,0,0,255,STOP
28916,0,0,255,STOP
29017,0,0,255,STOP
29117,0,0,255,STOP
29218,0,0,255,STOP
29318,0,0,255,STOP
29419,0,0,255,STOP
29519,0,0,255,STOP
29620,0,0,255,STOP
29720,0,0,255,STOP
29821,0,0,255,STOP
29921,0,0,255,STOP
30022,0,0,255,STOP
30122,0,0,255,STOP
30223,0,0,255,STOP
30323,0,0,255,STOP
30424,0,0,255,FORWARD
30524,12,0.587,255,FORWARD
30625,14,0.734,255,FORWARD
30725,13,0.636,255,FORWARD
30826,13,0.636,255,FORWARD
30926,14,0.587,255,FORWARD
31027,14,0.685,255,FORWARD
31127,13,0.636,255,FORWARD
31228,13,0.636,255,FORWARD
31328,16,0.782,69,FORWARD
31429,15,0.734,149,FORWARD
31529,14,0.685,148,FORWARD
31629,13,0.636,143,FORWARD
31730,14,0.685,142,FORWARD
31830,18,0.88,140,FORWARD
31931,14,0.685,139,FORWARD
32031,17,0.831,138,FORWARD
32132,14,0.685,137,FORWARD
32232,12,0.587,95,FORWARD
32333,14,0.782,98,FORWARD
32433,13,0.636,98,FORWARD
32534,12,0.587,48,FORWARD
32634,15,0.734,43,FORWARD
32735,16,0.782,46,FORWARD
32835,14,0.685,46,FORWARD
32936,14,0.685,128,FORWARD
33036,16,0.782,43,FORWARD
33137,15,0.734,43,FORWARD
33237,13,0.636,183,FORWARD
33338,14,0.685,229,FORWARD
33438,17,0.831,225,FORWARD
33539,15,0.734,181,FORWARD
33639,17,0.831,92,FORWARD
