elapsed_ms,current_diff,current_A,distance_cm,command
37,0,0,255,STOP
135,0,0,255,STOP
246,0,0,255,STOP
329,0,0,255,STOP
435,0,0,255,STOP
542,0,0,255,STOP
652,0,0,255,STOP
741,0,0,255,STOP
851,0,0,255,STOP
949,0,0,255,STOP
1043,0,0,255,STOP
1144,0,0,241,STOP
1251,0,0,241,STOP
1336,0,0,241,STOP
1465,0,0,255,STOP
1561,0,0,255,STOP
1642,0,0,255,STOP
1747,0,0,255,STOP
1859,0,0,255,STOP
1960,0,0,255,STOP
2041,0,0,255,STOP
2146,14,0.685,147,FORWARD
2252,13,0.636,112,FORWARD
2355,12,0.587,178,FORWARD
2443,12,0.587,114,FORWARD
2581,12,0.587,239,FORWARD
2650,11,0.538,255,FORWARD
2757,11,0.538,255,FORWARD
2858,0,0,255,STOP
2958,0,0,255,STOP
3059,0,0,0,STOP
3160,0,0,0,FORWARD
3260,14,0.685,112,FORWARD
3361,12,0.587,130,FORWARD
3462,12,0.587,253,FORWARD
3562,15,0.734,255,FORWARD
3663,12,0.587,0,FORWARD
3763,12,0.587,0,FORWARD
3864,11,0.538,0,FORWARD
3965,13,0.636,0,FORWARD
4065,10,0.489,0,FORWARD
4166,11,0.538,0,FORWARD
4266,10,0.489,255,FORWARD
4367,10,0.489,0,FORWARD
4468,10,0.489,0,FORWARD
4568,10,0.44,255,FORWARD
4669,10,0.44,255,FORWARD
4770,11,0.538,0,FORWARD
4870,10,0.44,255,FORWARD
4971,10,0.391,255,FORWARD
5071,10,0.489,255,FORWARD
5172,11,0.538,255,FORWARD
5273,10,0.489,255,FORWARD
5373,10,0.489,255,FORWARD
5474,10,0.489,255,FORWARD
5574,11,0.538,255,FORWARD
5675,10,0.489,255,FORWARD
5776,12,0.44,255,FORWARD
5876,11,0.44,169,FORWARD
5977,10,0.489,248,FORWARD
6077,10,0.489,245,FORWARD
6178,10,0.489,227,FORWARD
6279,11,0.538,238,FORWARD
6379,11,0.538,222,FORWARD
6480,12,0.44,219,FORWARD
6581,12,0.391,215,FORWARD
6681,12,0.587,210,FORWARD
6782,11,0.538,125,FORWARD
6882,12,0.587,158,FORWARD
6983,10,0.489,188,FORWARD
7084,12,0.44,200,FORWARD
7184,12,0.489,195,FORWARD
7285,11,0.44,191,FORWARD
7385,10,0.489,190,FORWARD
7486,10,0.489,183,FORWARD
7587,10,0.489,97,FORWARD
7687,10,0.489,123,FORWARD
7788,10,0.489,119,FORWARD
7889,11,0.44,114,FORWARD
7989,11,0.489,111,FORWARD
8090,11,0.44,108,FORWARD
8190,11,0.538,105,FORWARD
8291,11,0.538,101,FORWARD
8392,10,0.489,97,FORWARD
8492,12,0.587,97,FORWARD
8593,10,0.489,96,FORWARD
8693,9,0.44,90,FORWARD
8794,11,0.538,88,FORWARD
