elapsed_ms,current_diff,current_A,distance_cm,command
64,0,0.000,255,FORWARD
152,0,0.000,255,FORWARD
264,0,0.000,255,FORWARD
350,0,0.000,215,FORWARD
462,0,0.000,255,FORWARD
573,0,0.000,255,FORWARD
656,0,0.000,255,FORWARD
769,0,0.000,255,FORWARD
874,0,0.000,255,FORWARD
979,0,0.000,255,FORWARD
1075,0,0.000,255,FORWARD
1179,0,0.000,255,FORWARD
1273,0,0.000,255,FORWARD
1361,0,0.000,255,FORWARD
1477,0,0.000,255,FORWARD
1582,0,0.000,215,FORWARD
1670,0,0.000,255,FORWARD
1761,0,0.000,255,FORWARD
1862,0,0.000,255,FORWARD
1966,0,0.000,255,FORWARD
2070,0,0.000,255,FORWARD
2182,0,0.000,255,FORWARD
2266,0,0.000,255,FORWARD
2379,0,0.000,255,FORWARD
2466,0,0.000,255,FORWARD
2585,0,0.000,255,FORWARD
2672,0,0.000,255,FORWARD
2785,0,0.000,224,FORWARD
2874,0,0.000,226,FORWARD
2990,0,0.000,255,FORWARD
3070,0,0.000,255,FORWARD
3175,0,0.000,255,FORWARD
3288,0,0.000,255,FORWARD
3395,0,0.000,255,FORWARD
3485,0,0.000,255,FORWARD
3598,0,0.000,236,LEFT
3686,17,0.831,255,LEFT
3778,16,0.782,255,LEFT
3875,14,0.685,216,LEFT
4016,13,0.636,255,LEFT
4073,14,0.685,89,LEFT
4177,13,0.636,78,LEFT
4264,11,0.538,75,LEFT
4368,13,0.636,74,LEFT
4488,12,0.587,78,LEFT
4586,12,0.587,88,LEFT
4688,14,0.685,37,LEFT
4776,12,0.587,45,LEFT
4890,13,0.636,57,LEFT
5003,15,0.734,0,LEFT
5114,13,0.636,0,LEFT
5194,15,0.734,185,LEFT
5300,13,0.636,146,LEFT
5388,10,0.489,145,LEFT
5476,11,0.538,145,LEFT
5600,11,0.538,147,LEFT
5694,13,0.636,255,LEFT
5805,15,0.734,255,LEFT
5894,15,0.734,231,LEFT
6010,9,0.440,255,LEFT
6091,14,0.685,255,LEFT
6198,13,0.636,85,LEFT
6287,13,0.636,79,LEFT
6399,11,0.538,77,LEFT
6492,13,0.636,78,LEFT
6588,13,0.636,94,LEFT
6694,11,0.538,57,LEFT
6779,15,0.734,49,LEFT
6879,15,0.734,53,LEFT
7006,12,0.587,61,LEFT
7086,12,0.587,55,LEFT
7234,12,0.587,0,LEFT
7299,13,0.636,148,LEFT
7392,13,0.636,144,LEFT
7503,11,0.538,143,LEFT
7600,12,0.587,144,LEFT
7712,12,0.587,149,LEFT
7800,13,0.636,255,LEFT
7905,12,0.587,255,LEFT
8010,10,0.489,240,LEFT
8108,13,0.636,226,LEFT
8228,17,0.831,255,LEFT
8293,14,0.685,82,LEFT
8398,12,0.587,83,LEFT
8505,13,0.636,79,LEFT
8615,13,0.636,81,LEFT
8708,13,0.636,98,LEFT
8817,15,0.734,51,LEFT
8918,14,0.685,54,LEFT
9003,13,0.636,62,LEFT
9112,13,0.636,51,LEFT
9242,14,0.685,0,LEFT
9343,13,0.636,0,LEFT
9411,12,0.587,102,LEFT
9525,12,0.587,141,LEFT
9605,12,0.587,141,LEFT
9709,14,0.685,142,LEFT
9829,12,0.587,232,LEFT
9934,14,0.685,255,LEFT
10015,13,0.636,255,LEFT
10129,13,0.636,255,LEFT
10240,11,0.538,207,LEFT
10330,13,0.636,161,LEFT
10418,12,0.587,83,LEFT
10528,13,0.636,81,LEFT
10610,14,0.685,81,LEFT
10715,14,0.685,81,LEFT
10821,11,0.538,59,LEFT
10926,16,0.782,53,LEFT
11014,13,0.636,57,LEFT
11127,13,0.636,65,LEFT
11215,14,0.685,53,LEFT
