elapsed_ms,current_diff,current_A,distance_cm,command
61,0,0.000,81,STOP
147,0,0.000,83,STOP
258,0,0.000,81,STOP
367,0,0.000,82,STOP
460,0,0.000,82,STOP
566,0,0.000,81,STOP
669,0,0.000,81,STOP
769,0,0.000,81,STOP
873,0,0.000,83,STOP
969,0,0.000,82,STOP
1052,0,0.000,83,STOP
1158,0,0.000,81,STOP
1268,0,0.000,81,STOP
1377,0,0.000,83,STOP
1474,0,0.000,82,STOP
1574,0,0.000,81,STOP
1681,0,0.000,83,STOP
1767,0,0.000,81,STOP
1883,0,0.000,83,STOP
1977,0,0.000,81,STOP
2065,0,0.000,31,STOP
2183,0,0.000,82,STOP
2269,19,0.929,82,RIGHT
2371,17,0.831,84,RIGHT
2465,13,0.636,82,RIGHT
2565,14,0.685,85,RIGHT
2683,15,0.734,88,RIGHT
2775,11,0.538,96,RIGHT
2885,11,0.538,94,RIGHT
2974,13,0.636,53,RIGHT
3087,12,0.587,98,RIGHT
3177,13,0.636,203,RIGHT
3298,16,0.782,206,RIGHT
3380,13,0.636,255,RIGHT
3484,11,0.538,255,RIGHT
3591,12,0.587,221,RIGHT
3681,10,0.489,195,RIGHT
3782,13,0.636,121,RIGHT
3884,13,0.636,119,RIGHT
3996,12,0.587,118,RIGHT
4084,11,0.538,43,RIGHT
4221,13,0.636,0,RIGHT
4275,13,0.636,88,RIGHT
4380,12,0.587,89,RIGHT
4487,14,0.685,87,RIGHT
4586,12,0.587,86,RIGHT
4677,11,0.538,90,RIGHT
4801,12,0.587,100,RIGHT
4892,12,0.587,97,RIGHT
4995,12,0.587,96,RIGHT
5084,9,0.440,50,RIGHT
5220,9,0.440,128,RIGHT
5308,9,0.440,201,RIGHT
5391,11,0.538,255,RIGHT
5493,12,0.587,255,RIGHT
5607,10,0.489,255,RIGHT
5704,13,0.636,195,RIGHT
5791,11,0.538,130,RIGHT
5905,14,0.685,119,RIGHT
5995,11,0.538,111,RIGHT
6108,10,0.489,118,RIGHT
6204,13,0.636,122,RIGHT
6308,11,0.538,255,RIGHT
6395,11,0.538,92,RIGHT
6494,12,0.587,93,RIGHT
6613,13,0.636,89,RIGHT
6700,10,0.489,94,RIGHT
6815,11,0.538,97,RIGHT
6900,13,0.636,98,RIGHT
7013,10,0.489,96,RIGHT
7101,10,0.489,14,RIGHT
7220,14,0.685,127,RIGHT
7325,11,0.538,196,RIGHT
7426,11,0.538,254,RIGHT
7531,10,0.489,254,RIGHT
7610,13,0.636,255,RIGHT
7716,10,0.489,214,RIGHT
7829,11,0.538,185,RIGHT
7921,13,0.636,117,RIGHT
8003,13,0.636,116,RIGHT
8115,11,0.538,116,RIGHT
8226,11,0.538,117,RIGHT
8337,13,0.636,0,RIGHT
8411,12,0.587,97,RIGHT
8511,10,0.489,93,RIGHT
8611,10,0.489,96,RIGHT
8717,13,0.636,99,RIGHT
8829,10,0.489,93,RIGHT
8915,12,0.587,100,RIGHT
9031,13,0.636,99,RIGHT
9128,11,0.538,98,RIGHT
9215,13,0.636,102,RIGHT
9329,12,0.587,133,RIGHT
9418,9,0.440,167,RIGHT
9525,10,0.489,170,RIGHT
9629,10,0.489,250,RIGHT
9745,10,0.489,255,RIGHT
9821,13,0.636,208,RIGHT
9926,12,0.587,124,RIGHT
10033,11,0.538,114,RIGHT
10118,12,0.587,113,RIGHT
10224,10,0.489,114,RIGHT
10343,13,0.636,118,RIGHT
10443,13,0.636,255,RIGHT
10533,14,0.685,99,RIGHT
10636,14,0.685,99,RIGHT
10720,13,0.636,104,RIGHT
10830,11,0.538,79,RIGHT
10943,12,0.587,105,RIGHT
11045,14,0.685,101,RIGHT
11125,13,0.636,103,RIGHT
11238,13,0.636,105,RIGHT
11329,10,0.489,132,RIGHT
11444,11,0.538,194,RIGHT
11560,11,0.538,247,RIGHT
11639,10,0.489,248,RIGHT
11752,11,0.538,251,RIGHT
11867,9,0.440,255,RIGHT
11935,12,0.587,100,RIGHT
12051,14,0.685,113,RIGHT
12132,11,0.538,111,RIGHT
12236,11,0.538,111,RIGHT
12347,12,0.587,113,RIGHT
12435,12,0.587,122,RIGHT
12567,11,0.538,255,RIGHT
12653,13,0.636,102,RIGHT
12736,11,0.538,100,RIGHT
12844,13,0.636,100,RIGHT
12941,12,0.587,17,RIGHT
13044,10,0.489,59,RIGHT
13139,11,0.538,77,RIGHT
13251,12,0.587,105,RIGHT
13363,12,0.587,130,RIGHT
13442,12,0.587,134,RIGHT
13552,10,0.489,194,RIGHT
13658,12,0.587,245,RIGHT
13775,12,0.587,246,RIGHT
13859,11,0.538,250,RIGHT
13967,12,0.587,255,RIGHT
14060,13,0.636,86,RIGHT
14167,12,0.587,113,RIGHT
14267,12,0.587,109,RIGHT
14363,9,0.440,110,RIGHT
14474,13,0.636,115,RIGHT
14587,13,0.636,0,RIGHT
14672,10,0.489,255,RIGHT
14777,13,0.636,105,RIGHT
14858,11,0.538,106,RIGHT
14970,12,0.587,116,RIGHT
15082,10,0.489,114,RIGHT
15163,14,0.685,62,RIGHT
15284,11,0.538,106,RIGHT
15371,13,0.636,107,RIGHT
15483,11,0.538,133,RIGHT
15575,10,0.489,194,RIGHT
15682,10,0.489,196,RIGHT
15784,13,0.636,243,RIGHT
15889,14,0.685,245,RIGHT
15978,11,0.538,255,RIGHT
16089,11,0.538,197,RIGHT
16176,11,0.538,111,RIGHT
16291,12,0.587,109,RIGHT
16385,11,0.538,109,RIGHT
16471,10,0.489,96,RIGHT
16595,12,0.587,116,RIGHT
16699,13,0.636,255,RIGHT
16777,9,0.440,110,RIGHT
