elapsed_ms,current_diff,current_A,distance_cm,command
50,0,0,255,STOP
154,0,0,255,STOP
265,0,0,255,STOP
352,0,0,255,STOP
470,0,0,255,STOP
573,0,0,255,STOP
669,0,0,255,STOP
759,0,0,255,STOP
865,0,0,255,STOP
952,0,0,242,STOP
1052,0,0,255,STOP
1175,0,0,255,STOP
1255,0,0,255,STOP
1361,0,0,255,STOP
1474,0,0,255,STOP
1574,0,0,255,STOP
1678,0,0,255,STOP
1759,0,0,255,STOP
1872,0,0,255,STOP
1959,0,0,255,STOP
2071,0,0,255,STOP
2182,0,0,242,STOP
2272,0,0,255,STOP
2380,0,0,255,STOP
2464,0,0,255,STOP
2580,0,0,255,FORWARD
2668,13,0.636,255,FORWARD
2791,11,0.538,255,FORWARD
2875,10,0.489,255,FORWARD
2989,10,0.489,255,FORWARD
3075,10,0.489,255,FORWARD
3184,11,0.538,247,FORWARD
3273,10,0.489,227,FORWARD
3384,7,0.342,255,FORWARD
3478,9,0.44,255,FORWARD
3591,8,0.391,255,FORWARD
3671,8,0.391,255,FORWARD
3780,9,0.44,255,FORWARD
3885,10,0.489,255,FORWARD
3973,10,0.489,255,FORWARD
4085,7,0.342,255,FORWARD
4175,7,0.342,255,FORWARD
4289,9,0.44,255,FORWARD
4373,9,0.44,177,FORWARD
4487,9,0.44,255,FORWARD
4575,7,0.342,252,FORWARD
4682,9,0.44,248,FORWARD
4787,9,0.44,244,FORWARD
4885,9,0.44,239,FORWARD
4999,7,0.342,235,FORWARD
5098,7,0.342,231,FORWARD
5185,10,0.489,226,FORWARD
5298,9,0.44,176,FORWARD
5383,9,0.44,144,FORWARD
5501,11,0.538,213,FORWARD
5580,10,0.489,209,FORWARD
5686,9,0.44,206,FORWARD
5791,8,0.391,203,FORWARD
5880,7,0.342,197,FORWARD
5990,9,0.44,194,FORWARD
6099,9,0.44,192,FORWARD
6187,8,0.391,186,FORWARD
6305,8,0.391,182,FORWARD
6385,7,0.342,95,FORWARD
6502,7,0.342,174,FORWARD
6582,10,0.489,170,FORWARD
6690,9,0.44,167,FORWARD
6794,8,0.391,165,FORWARD
6905,7,0.342,163,FORWARD
6995,10,0.489,158,FORWARD
7107,9,0.44,154,FORWARD
7191,8,0.391,149,FORWARD
7303,8,0.391,146,FORWARD
7394,9,0.44,58,FORWARD
7500,9,0.44,137,FORWARD
7609,9,0.44,134,FORWARD
7692,8,0.391,130,FORWARD
7797,9,0.44,125,FORWARD
7908,9,0.44,121,FORWARD
8003,0,0,131,STOP
8103,0,0,130,STOP
8204,0,0,130,STOP
8304,0,0,131,STOP
8405,0,0,130,STOP
8505,0,0,129,STOP
8606,0,0,84,STOP
8706,0,0,129,STOP
8807,0,0,51,STOP
8907,0,0,98,STOP
9008,1,0.049,138,STOP
9109,0,0,173,STOP
9209,1,0.049,219,STOP
9310,0,0,0,STOP
9410,0,0,251,STOP
9511,0,0,0,STOP
9611,0,0,0,STOP
9712,1,0.049,0,STOP
9812,0,0,0,STOP
9913,0,0,0,STOP
10013,1,0.049,0,STOP
10114,0,0,0,STOP
10214,0,0,0,STOP
10315,0,0,0,STOP
10415,0,0,0,STOP
10516,0,0,0,STOP
10617,0,0,0,STOP
10717,0,0,0,STOP
10818,0,0,103,STOP
10918,0,0,102,STOP
11019,0,0,104,STOP
11119,0,0,38,STOP
11220,0,0,103,STOP
11320,0,0,103,STOP
11421,0,0,103,STOP
11521,0,0,103,STOP
11622,0,0,103,STOP
11722,0,0,105,STOP
11823,0,0,146,STOP
11923,0,0,64,STOP
12024,0,0,78,STOP
12125,0,0,160,STOP
12225,0,0,178,STOP
12326,0,0,214,STOP
12426,0,0,226,STOP
12527,0,0,0,STOP
12627,0,0,0,STOP
12728,0,0,0,STOP
12828,0,0,0,STOP
12929,0,0,0,STOP
13029,0,0,0,STOP
13130,0,0,0,STOP
13230,0,0,0,STOP
13331,0,0,0,STOP
13432,0,0,0,STOP
13532,0,0,0,STOP
13633,0,0,0,STOP
13733,0,0,0,STOP
13834,0,0,0,STOP
13934,0,0,0,STOP
14035,0,0,0,STOP
14135,0,0,0,STOP
14236,0,0,0,STOP
14336,0,0,0,STOP
14437,0,0,0,STOP
14537,0,0,0,STOP
14638,0,0,0,FORWARD
14738,10,0.734,0,FORWARD
14839,10,0.636,0,FORWARD
14940,11,0.538,0,FORWARD
15040,11,0.538,0,FORWARD
15141,10,0.489,0,FORWARD
15241,10,0.489,0,FORWARD
15342,6,0.293,0,FORWARD
15442,9,0.44,0,FORWARD
15543,9,0.44,0,FORWARD
15643,8,0.391,0,FORWARD
15744,9,0.44,0,FORWARD
