elapsed_ms,current_diff,current_A,distance_cm,command
28,0,0,255,STOP
63,0,0,255,STOP
190,0,0,255,STOP
276,0,0,255,STOP
389,0,0,255,STOP
470,0,0,255,STOP
577,0,0,255,STOP
674,0,0,255,STOP
788,0,0,255,STOP
875,0,0,255,STOP
985,0,0,255,STOP
1097,0,0,255,STOP
1184,0,0,255,STOP
1294,0,0,255,STOP
1375,0,0,255,STOP
1494,0,0,255,STOP
1598,0,0,255,STOP
1679,0,0,255,STOP
1779,0,0,255,STOP
1886,0,0,255,STOP
1994,0,0,255,STOP
2080,0,0,255,STOP
2193,0,0,255,STOP
2301,0,0,255,STOP
2389,0,0,255,STOP
2500,0,0,255,STOP
2587,0,0,255,STOP
2701,0,0,255,FORWARD
2783,12,0.587,255,FORWARD
2888,15,0.734,255,FORWARD
2996,13,0.636,255,FORWARD
3108,13,0.636,255,FORWARD
3203,12,0.587,255,FORWARD
3282,14,0.685,255,FORWARD
3396,13,0.636,255,FORWARD
3491,13,0.636,255,FORWARD
3579,16,0.782,69,FORWARD
3693,15,0.734,149,FORWARD
3803,14,0.685,148,FORWARD
3886,13,0.636,143,FORWARD
3985,14,0.685,142,FORWARD
4090,18,0.88,140,FORWARD
4188,14,0.685,139,FORWARD
4287,17,0.831,138,FORWARD
4389,13,0.636,145,FORWARD
4489,14,0.685,41,FORWARD
4590,14,0.685,41,FORWARD
4690,16,0.782,97,FORWARD
4791,16,0.782,97,FORWARD
4891,14,0.685,81,FORWARD
4992,13,0.636,255,FORWARD
5092,17,0.831,228,FORWARD
5193,15,0.734,183,FORWARD
5293,16,0.782,175,FORWARD
5394,13,0.636,132,FORWARD
5494,0,0,255,STOP
5595,0,0,255,STOP
5695,0,0,255,STOP
5796,0,0,255,FORWARD
5896,12,0.587,255,FORWARD
5997,15,0.734,255,FORWARD
6097,13,0.636,255,FORWARD
6198,13,0.636,255,FORWARD
6298,12,0.587,255,FORWARD
6399,14,0.685,255,FORWARD
6499,13,0.636,255,FORWARD
6600,13,0.636,255,FORWARD
6700,16,0.782,69,FORWARD
6801,15,0.734,149,FORWARD
6901,14,0.685,148,FORWARD
7002,13,0.636,143,FORWARD
7102,14,0.685,142,FORWARD
7203,18,0.88,140,FORWARD
7303,14,0.685,139,FORWARD
7404,17,0.831,138,FORWARD
7504,14,0.685,137,FORWARD
7605,12,0.587,95,FORWARD
7705,16,0.782,98,FORWARD
7806,13,0.636,98,FORWARD
7906,12,0.587,48,FORWARD
8007,15,0.734,43,FORWARD
8107,16,0.782,46,FORWARD
8208,14,0.685,46,FORWARD
8308,14,0.685,128,FORWARD
8409,16,0.782,43,FORWARD
8509,15,0.734,43,FORWARD
8610,13,0.636,183,FORWARD
8710,14,0.685,229,FORWARD
8811,17,0.831,225,FORWARD
8911,15,0.734,181,FORWARD
9012,17,0.831,92,FORWARD
9112,14,0.685,131,FORWARD
9213,14,0.685,127,FORWARD
9313,17,0.831,99,FORWARD
9414,13,0.636,93,FORWARD
9514,14,0.685,91,FORWARD
9615,13,0.636,90,FORWARD
9715,16,0.782,90,FORWARD
28,0,0,255,STOP
63,0,0,255,STOP
190,0,0,255,STOP
276,0,0,255,STOP
389,0,0,255,STOP
470,0,0,255,STOP
577,0,0,255,STOP
674,0,0,255,STOP
788,0,0,255,STOP
875,0,0,255,STOP
985,0,0,255,STOP
1097,0,0,255,STOP
1184,0,0,255,STOP
1294,0,0,255,STOP
1375,0,0,255,STOP
1494,0,0,255,STOP
1598,0,0,255,STOP
1679,0,0,255,STOP
1779,0,0,255,STOP
1886,0,0,255,STOP
1994,0,0,255,STOP
2080,0,0,255,STOP
2193,0,0,255,STOP
2301,0,0,255,STOP
2389,0,0,255,STOP
2500,0,0,255,STOP
2587,0,0,255,STOP
2701,0,0,255,FORWARD
2783,12,0.587,255,FORWARD
2888,15,0.734,255,FORWARD
2996,13,0.636,255,FORWARD
3108,13,0.636,255,FORWARD
3203,12,0.587,255,FORWARD
3282,14,0.685,255,FORWARD
3396,13,0.636,255,FORWARD
3491,13,0.636,255,FORWARD
3579,16,0.782,69,FORWARD
3693,15,0.734,149,FORWARD
3803,14,0.685,148,FORWARD
3886,13,0.636,143,FORWARD
3985,14,0.685,142,FORWARD
4090,18,0.88,140,FORWARD
4188,14,0.685,139,FORWARD
4287,17,0.831,138,FORWARD
4389,13,0.636,145,FORWARD
4489,14,0.685,41,FORWARD
4590,14,0.685,41,FORWARD
4690,16,0.782,97,FORWARD
4791,16,0.782,97,FORWARD
4891,14,0.685,81,FORWARD
4992,13,0.636,255,FORWARD
5092,17,0.831,228,FORWARD
5193,15,0.734,183,FORWARD
5293,16,0.782,175,FORWARD
5394,13,0.636,132,FORWARD
5494,0,0,255,STOP
5595,0,0,255,STOP
5695,0,0,255,STOP
5796,0,0,255,FORWARD
5896,12,0.587,255,FORWARD
5997,15,0.734,255,FORWARD
6097,13,0.636,255,FORWARD
6198,13,0.636,255,FORWARD
6298,12,0.587,255,FORWARD
6399,14,0.685,255,FORWARD
6499,13,0.636,255,FORWARD
6600,13,0.636,255,FORWARD
6700,16,0.782,69,FORWARD
6801,15,0.734,149,FORWARD
6901,14,0.685,148,FORWARD
7002,13,0.636,143,FORWARD
7102,14,0.685,142,FORWARD
7203,18,0.88,140,FORWARD
7303,14,0.685,139,FORWARD
7404,17,0.831,138,FORWARD
7504,14,0.685,137,FORWARD
7605,12,0.587,95,FORWARD
7705,16,0.782,98,FORWARD
7806,13,0.636,98,FORWARD
7906,12,0.587,48,FORWARD
8007,15,0.734,43,FORWARD
8107,16,0.782,46,FORWARD
8208,14,0.685,46,FORWARD
8308,14,0.685,128,FORWARD
8409,16,0.782,43,FORWARD
8509,15,0.734,43,FORWARD
8610,13,0.636,183,FORWARD
8710,14,0.685,229,FORWARD
8811,17,0.831,225,FORWARD
8911,15,0.734,181,FORWARD
9012,17,0.831,92,FORWARD
9112,14,0.685,131,FORWARD
9213,14,0.685,127,FORWARD
9313,17,0.831,99,FORWARD
9414,13,0.636,93,FORWARD
9514,14,0.685,91,FORWARD
9615,13,0.636,90,FORWARD
9715,16,0.782,90,FORWARD
28,0,0,255,STOP
63,0,0,255,STOP
190,0,0,255,STOP
276,0,0,255,STOP
389,0,0,255,STOP
470,0,0,255,STOP
577,0,0,255,STOP
674,0,0,255,STOP
788,0,0,255,STOP
875,0,0,255,STOP
985,0,0,255,STOP
1097,0,0,255,STOP
1184,0,0,255,STOP
1294,0,0,255,STOP
1375,0,0,255,STOP
1494,0,0,255,STOP
1598,0,0,255,STOP
1679,0,0,255,STOP
1779,0,0,255,STOP
1886,0,0,255,STOP
1994,0,0,255,STOP
2080,0,0,255,STOP
2193,0,0,255,STOP
2301,0,0,255,STOP
2389,0,0,255,STOP
2500,0,0,255,STOP
2587,0,0,255,STOP
2701,0,0,255,FORWARD
2783,12,0.587,255,FORWARD
2888,15,0.734,255,FORWARD
2996,13,0.636,255,FORWARD
3108,13,0.636,255,FORWARD
3203,12,0.587,255,FORWARD
3282,14,0.685,255,FORWARD
3396,13,0.636,255,FORWARD
3491,13,0.636,255,FORWARD
3579,16,0.782,69,FORWARD
3693,15,0.734,149,FORWARD
3803,14,0.685,148,FORWARD
3886,13,0.636,143,FORWARD
3985,14,0.685,142,FORWARD
4090,18,0.88,140,FORWARD
4188,14,0.685,139,FORWARD
4287,17,0.831,138,FORWARD
4389,13,0.636,145,FORWARD
4489,14,0.685,41,FORWARD
4590,14,0.685,41,FORWARD
4690,16,0.782,97,FORWARD
4791,16,0.782,97,FORWARD
4891,14,0.685,81,FORWARD
4992,13,0.636,255,FORWARD
5092,17,0.831,228,FORWARD
5193,15,0.734,183,FORWARD
5293,16,0.782,175,FORWARD
5394,13,0.636,132,FORWARD
5494,0,0,255,STOP
5595,0,0,255,STOP
5695,0,0,255,STOP
5796,0,0,255,FORWARD
5896,12,0.587,255,FORWARD
5997,15,0.734,255,FORWARD
6097,13,0.636,255,FORWARD
6198,13,0.636,255,FORWARD
6298,12,0.587,255,FORWARD
6399,14,0.685,255,FORWARD
6499,13,0.636,255,FORWARD
6600,13,0.636,255,FORWARD
6700,16,0.782,69,FORWARD
6801,15,0.734,149,FORWARD
6901,14,0.685,148,FORWARD
7002,13,0.636,143,FORWARD
7102,14,0.685,142,FORWARD
7203,18,0.88,140,FORWARD
7303,14,0.685,139,FORWARD
7404,17,0.831,138,FORWARD
7504,14,0.685,137,FORWARD
7605,12,0.587,95,FORWARD
7705,16,0.782,98,FORWARD
7806,13,0.636,98,FORWARD
7906,12,0.587,48,FORWARD
8007,15,0.734,43,FORWARD
8107,16,0.782,46,FORWARD
8208,14,0.685,46,FORWARD
8308,14,0.685,128,FORWARD
8409,16,0.782,43,FORWARD
8509,15,0.734,43,FORWARD
8610,13,0.636,183,FORWARD
8710,14,0.685,229,FORWARD
8811,17,0.831,225,FORWARD
8911,15,0.734,181,FORWARD
9012,17,0.831,92,FORWARD
9112,14,0.685,131,FORWARD
9213,14,0.685,127,FORWARD
9313,17,0.831,99,FORWARD
9414,13,0.636,93,FORWARD
9514,14,0.685,91,FORWARD
9615,13,0.636,90,FORWARD
9715,16,0.782,90,FORWARD
9816,14,0.685,255,FORWARD
9916,13,0.636,147,FORWARD
10017,14,0.685,147,FORWARD
10117,14,0.685,144,FORWARD
10218,14,0.685,142,FORWARD
10318,16,0.782,140,FORWARD
10419,16,0.782,138,FORWARD
10519,17,0.831,138,FORWARD
10620,16,0.782,53,FORWARD
10720,14,0.489,136,FORWARD
10821,12,0.587,143,FORWARD
10921,17,0.831,48,FORWARD
11022,16,0.782,48,FORWARD
11122,13,0.636,145,FORWARD
11223,14,0.685,41,FORWARD
11323,14,0.685,41,FORWARD
11424,16,0.782,97,FORWARD
11524,16,0.782,97,FORWARD
11625,14,0.685,81,FORWARD
11725,13,0.636,255,FORWARD
11826,17,0.831,228,FORWARD
11926,15,0.734,183,FORWARD
12027,16,0.782,175,FORWARD
12127,13,0.636,132,FORWARD
12228,0,0,255,STOP
12328,0,0,255,STOP
12429,0,0,255,STOP
12529,0,0,255,FORWARD
12630,14,0.587,255,FORWARD
12730,15,0.734,255,FORWARD
12831,13,0.636,255,FORWARD
12931,13,0.636,255,FORWARD
13032,14,0.587,255,FORWARD
13132,14,0.685,255,FORWARD
13233,13,0.636,255,FORWARD
13333,13,0.636,255,FORWARD
13434,16,0.782,69,FORWARD
13534,15,0.734,149,FORWARD
13635,14,0.685,148,FORWARD
13735,13,0.636,143,FORWARD
13836,14,0.685,142,FORWARD
13936,18,0.88,140,FORWARD
14037,14,0.685,139,FORWARD
14137,17,0.831,138,FORWARD
14238,14,0.685,137,FORWARD
14338,12,0.587,95,FORWARD
14439,16,0.782,98,FORWARD
14539,13,0.636,98,FORWARD
14640,14,0.587,48,FORWARD
14740,15,0.734,43,FORWARD
14841,16,0.782,46,FORWARD
14941,14,0.685,46,FORWARD
