elapsed_ms,current_diff,current_A,distance_cm,command
37,0,0.000,255,STOP
135,0,0.000,255,STOP
246,0,0.000,255,STOP
329,0,0.000,255,STOP
435,0,0.000,255,STOP
542,0,0.000,255,STOP
652,0,0.000,255,STOP
741,0,0.000,255,STOP
851,0,0.000,255,STOP
949,0,0.000,255,STOP
1043,0,0.000,255,STOP
1144,0,0.000,241,STOP
1251,0,0.000,241,STOP
1336,0,0.000,241,STOP
1465,0,0.000,255,STOP
1561,0,0.000,255,STOP
1642,0,0.000,255,STOP
1747,0,0.000,255,STOP
1859,0,0.000,255,STOP
1960,0,0.000,255,STOP
2041,0,0.000,255,STOP
2146,14,0.685,147,FORWARD
2252,13,0.636,112,FORWARD
2355,12,0.587,178,FORWARD
2443,12,0.587,114,FORWARD
2581,12,0.587,239,FORWARD
2650,11,0.538,255,FORWARD
2766,7,0.342,255,FORWARD
2846,12,0.587,255,FORWARD
2952,10,0.489,255,FORWARD
3053,11,0.538,255,FORWARD
3158,11,0.538,255,FORWARD
3248,10,0.489,255,FORWARD
3360,10,0.489,255,FORWARD
3450,10,0.489,255,FORWARD
3560,11,0.538,255,FORWARD
3649,9,0.440,255,FORWARD
3768,9,0.440,203,FORWARD
3857,11,0.538,244,FORWARD
3970,11,0.538,255,FORWARD
4062,10,0.489,255,FORWARD
4166,9,0.440,255,FORWARD
4270,9,0.440,255,FORWARD
4366,8,0.391,255,FORWARD
4458,10,0.489,255,FORWARD
4556,12,0.587,255,FORWARD
4674,11,0.538,255,FORWARD
4757,9,0.440,170,FORWARD
4867,9,0.440,249,FORWARD
4977,12,0.587,247,FORWARD
5058,11,0.538,243,FORWARD
5163,10,0.489,240,FORWARD
5277,8,0.391,237,FORWARD
5359,8,0.391,233,FORWARD
5470,10,0.489,230,FORWARD
5577,9,0.440,212,FORWARD
5674,10,0.489,225,FORWARD
5782,9,0.440,174,FORWARD
5868,11,0.538,190,FORWARD
5983,12,0.587,215,FORWARD
6087,10,0.489,211,FORWARD
6170,11,0.538,208,FORWARD
6275,10,0.489,207,FORWARD
6388,10,0.489,220,FORWARD
6477,11,0.538,199,FORWARD
6573,9,0.440,196,FORWARD
6672,10,0.489,193,FORWARD
6770,12,0.587,191,FORWARD
6884,11,0.538,189,FORWARD
6972,9,0.440,101,FORWARD
7088,8,0.391,180,FORWARD
7168,8,0.391,180,FORWARD
7277,12,0.587,174,FORWARD
7382,11,0.538,171,FORWARD
7470,10,0.489,168,FORWARD
7583,10,0.489,165,FORWARD
7674,10,0.489,164,FORWARD
7786,9,0.440,159,FORWARD
7874,12,0.587,157,FORWARD
7988,11,0.538,153,FORWARD
8077,10,0.489,68,FORWARD
8191,8,0.391,149,FORWARD
8271,10,0.489,146,FORWARD
8372,12,0.587,140,FORWARD
8477,10,0.489,137,FORWARD
8583,10,0.489,135,FORWARD
8675,9,0.440,131,FORWARD
8784,10,0.489,128,FORWARD
8881,9,0.440,126,FORWARD
8993,12,0.587,121,FORWARD
9082,12,0.587,119,FORWARD
9194,10,0.489,116,FORWARD
9277,9,0.440,66,FORWARD
9394,11,0.538,110,FORWARD
9502,11,0.538,107,FORWARD
9580,12,0.587,103,FORWARD
9693,11,0.538,101,FORWARD
9801,10,0.489,96,FORWARD
9888,11,0.538,98,FORWARD
9990,11,0.538,92,FORWARD
10087,10,0.489,90,FORWARD
10197,11,0.538,86,FORWARD
10283,11,0.538,55,FORWARD
10395,9,0.440,80,FORWARD
10491,11,0.538,14,FORWARD
10608,10,0.489,73,FORWARD
10687,11,0.538,69,FORWARD
