elapsed_ms,current_diff,current_A,distance_cm,command
67,0,0.000,137,STOP
164,0,0.000,104,STOP
250,0,0.000,102,STOP
356,0,0.000,105,STOP
461,0,0.000,102,STOP
553,0,0.000,102,STOP
663,0,0.000,102,STOP
752,0,0.000,101,STOP
870,0,0.000,104,STOP
953,0,0.000,87,STOP
1064,0,0.000,101,STOP
1167,0,0.000,101,STOP
1255,0,0.000,101,STOP
1362,0,0.000,102,STOP
1472,0,0.000,103,STOP
1558,0,0.000,103,STOP
1672,0,0.000,101,STOP
1781,0,0.000,102,STOP
1871,0,0.000,103,STOP
1981,0,0.000,103,STOP
2068,19,0.929,106,FORWARD
2175,14,0.685,103,FORWARD
2274,10,0.489,98,FORWARD
2366,9,0.440,97,FORWARD
2475,9,0.440,127,FORWARD
2583,10,0.489,88,FORWARD
2671,10,0.489,118,FORWARD
2780,9,0.440,114,FORWARD
2873,7,0.342,79,FORWARD
2981,8,0.391,106,RIGHT
3070,12,0.587,89,RIGHT
3169,10,0.489,86,RIGHT
3289,13,0.636,107,RIGHT
3384,11,0.538,151,RIGHT
3482,13,0.636,210,RIGHT
3587,13,0.636,210,RIGHT
3704,11,0.538,215,RIGHT
3800,10,0.489,251,RIGHT
3897,11,0.538,255,RIGHT
3988,10,0.489,180,RIGHT
4095,10,0.489,147,RIGHT
4193,11,0.538,146,RIGHT
4280,13,0.636,87,RIGHT
4411,12,0.587,0,RIGHT
4478,9,0.440,129,RIGHT
4580,10,0.489,127,RIGHT
4684,10,0.489,126,RIGHT
4796,12,0.587,92,RIGHT
4892,11,0.538,89,STOP
4988,13,0.636,90,STOP
5080,11,0.538,97,STOP
5211,12,0.587,97,STOP
5298,12,0.587,107,STOP
5409,10,0.489,103,STOP
5495,9,0.440,170,STOP
5590,12,0.587,213,STOP
5691,11,0.538,214,STOP
5798,10,0.489,211,STOP
5905,11,0.538,205,STOP
5989,13,0.636,153,STOP
6115,11,0.538,144,STOP
6196,10,0.489,147,STOP
6310,12,0.587,241,STOP
6421,13,0.636,255,STOP
6509,12,0.587,131,STOP
6600,11,0.538,50,STOP
6714,12,0.587,125,STOP
6792,12,0.587,89,STOP
6897,14,0.685,87,STOP
7017,13,0.636,83,STOP
7098,11,0.538,98,STOP
7216,13,0.636,101,STOP
7310,11,0.538,109,STOP
7405,13,0.636,152,STOP
7508,14,0.685,209,STOP
7619,13,0.636,210,STOP
7709,12,0.587,79,STOP
7811,0,0.000,209,STOP
7927,0,0.000,209,STOP
8024,0,0.000,209,STOP
8135,0,0.000,208,STOP
8218,0,0.000,208,STOP
8322,0,0.000,208,STOP
8434,0,0.000,249,STOP
8520,0,0.000,208,STOP
8630,0,0.000,208,STOP
8718,0,0.000,208,STOP
8839,0,0.000,250,STOP
8943,0,0.000,130,STOP
9042,17,0.831,208,BACKWARD
9124,12,0.587,129,BACKWARD
9233,12,0.587,208,BACKWARD
9344,10,0.489,214,BACKWARD
9426,9,0.440,217,BACKWARD
9532,11,0.538,220,BACKWARD
9634,10,0.489,227,BACKWARD
9739,9,0.440,228,BACKWARD
9832,7,0.342,232,BACKWARD
9937,14,0.685,165,FORWARD
10052,13,0.636,68,FORWARD
10139,10,0.489,235,FORWARD
10243,11,0.538,234,FORWARD
10355,11,0.538,145,FORWARD
10444,9,0.440,224,FORWARD
10539,8,0.391,154,FORWARD
10653,7,0.342,218,FORWARD
10734,7,0.342,214,FORWARD
10839,9,0.440,210,FORWARD
10945,9,0.440,206,FORWARD
11034,7,0.342,202,FORWARD
11147,8,0.391,195,FORWARD
11251,8,0.391,192,FORWARD
11340,9,0.440,189,FORWARD
11445,8,0.391,187,FORWARD
11550,13,0.636,179,LEFT
11637,13,0.636,93,LEFT
11750,12,0.587,218,LEFT
11842,11,0.538,217,LEFT
11944,11,0.538,198,LEFT
12042,13,0.636,195,LEFT
12146,12,0.587,195,LEFT
12253,12,0.587,135,LEFT
12349,11,0.538,130,LEFT
12440,11,0.538,94,LEFT
12551,12,0.587,96,LEFT
12644,11,0.538,42,LEFT
12749,0,0.000,80,STOP
12862,0,0.000,129,STOP
12944,0,0.000,129,STOP
13048,0,0.000,129,STOP
13157,0,0.000,129,STOP
13262,0,0.000,130,STOP
13357,0,0.000,129,STOP
13460,15,0.734,129,RIGHT
13557,10,0.489,125,RIGHT
13647,13,0.636,124,RIGHT
13758,11,0.538,93,RIGHT
13869,12,0.587,96,RIGHT
13954,12,0.587,49,RIGHT
14070,11,0.538,133,RIGHT
14174,12,0.587,195,RIGHT
