elapsed_ms,current_diff,current_A,distance_cm,command
9,0,0.000,255,STOP
68,0,0.000,255,STOP
173,0,0.000,255,STOP
286,0,0.000,255,STOP
373,0,0.000,255,STOP
483,0,0.000,255,STOP
571,0,0.000,255,STOP
695,0,0.000,242,STOP
772,0,0.000,243,STOP
883,0,0.000,255,STOP
987,0,0.000,255,STOP
1093,0,0.000,255,STOP
1182,0,0.000,255,STOP
1280,0,0.000,255,STOP
1387,0,0.000,255,STOP
1498,0,0.000,255,STOP
1584,0,0.000,255,STOP
1696,0,0.000,255,STOP
1780,0,0.000,255,STOP
1881,0,0.000,244,STOP
1980,0,0.000,243,STOP
2100,0,0.000,242,STOP
2188,0,0.000,247,STOP
2297,0,0.000,255,STOP
2394,0,0.000,255,STOP
2489,0,0.000,255,STOP
2594,0,0.000,255,STOP
2703,0,0.000,255,STOP
2794,0,0.000,255,STOP
2896,0,0.000,255,STOP
3005,0,0.000,255,STOP
3092,0,0.000,244,STOP
3204,0,0.000,255,STOP
3310,0,0.000,242,STOP
3396,0,0.000,242,STOP
3513,0,0.000,255,STOP
3594,0,0.000,255,STOP
3698,0,0.000,255,STOP
3806,0,0.000,255,STOP
3919,0,0.000,255,STOP
4011,0,0.000,255,STOP
4118,0,0.000,255,STOP
4203,0,0.000,255,STOP
4311,0,0.000,255,STOP
4398,0,0.000,243,STOP
4511,0,0.000,255,STOP
4601,0,0.000,255,STOP
4705,0,0.000,255,STOP
4809,0,0.000,255,STOP
4921,0,0.000,255,STOP
5007,0,0.000,255,STOP
5124,0,0.000,255,STOP
5228,0,0.000,255,STOP
5312,0,0.000,255,STOP
5429,0,0.000,242,STOP
5512,0,0.000,255,STOP
5624,0,0.000,255,STOP
5710,0,0.000,255,STOP
5815,0,0.000,255,STOP
5922,0,0.000,255,STOP
6011,0,0.000,255,STOP
6124,0,0.000,255,STOP
6213,0,0.000,255,STOP
6336,0,0.000,255,STOP
6421,0,0.000,255,STOP
6536,0,0.000,255,STOP
6622,0,0.000,255,STOP
6736,0,0.000,255,STOP
6816,0,0.000,255,STOP
6922,0,0.000,255,STOP
7035,0,0.000,255,STOP
7123,0,0.000,255,STOP
7219,0,0.000,255,STOP
7338,0,0.000,255,STOP
7423,0,0.000,255,STOP
7519,0,0.000,243,STOP
7623,0,0.000,255,STOP
7736,0,0.000,255,STOP
7825,0,0.000,255,STOP
7930,0,0.000,255,STOP
8031,0,0.000,255,STOP
8137,0,0.000,255,STOP
8250,0,0.000,255,STOP
8336,0,0.000,255,STOP
8445,0,0.000,255,STOP
8531,0,0.000,255,STOP
8642,0,0.000,255,STOP
8736,0,0.000,255,STOP
8849,0,0.000,242,STOP
8936,0,0.000,243,STOP
9045,0,0.000,255,STOP
9155,0,0.000,255,STOP
9238,0,0.000,255,STOP
9341,0,0.000,255,STOP
9446,0,0.000,255,STOP
9557,0,0.000,255,STOP
9644,0,0.000,255,STOP
9754,0,0.000,255,STOP
9857,0,0.000,242,STOP
9956,0,0.000,255,STOP
10060,0,0.000,242,STOP
10153,0,0.000,255,STOP
10245,0,0.000,255,STOP
10342,0,0.000,255,STOP
10447,0,0.000,255,STOP
10558,0,0.000,255,STOP
10643,0,0.000,255,STOP
10752,0,0.000,255,STOP
10865,0,0.000,255,STOP
10968,0,0.000,246,STOP
11067,0,0.000,243,STOP
11154,0,0.000,255,STOP
11268,0,0.000,255,STOP
11348,0,0.000,255,STOP
11453,0,0.000,255,STOP
11562,0,0.000,255,STOP
11650,0,0.000,255,STOP
11761,0,0.000,255,STOP
11871,0,0.000,255,STOP
11956,0,0.000,255,STOP
12059,0,0.000,255,STOP
12158,0,0.000,242,STOP
12264,0,0.000,255,STOP
12376,0,0.000,255,STOP
12465,0,0.000,255,STOP
12570,0,0.000,255,STOP
12677,0,0.000,255,STOP
12769,0,0.000,255,STOP
12875,0,0.000,255,STOP
12962,0,0.000,255,STOP
13062,0,0.000,255,STOP
13166,0,0.000,242,STOP
13265,0,0.000,243,STOP
13374,0,0.000,255,STOP
13479,0,0.000,255,STOP
13568,0,0.000,255,STOP
13672,0,0.000,255,STOP
13779,0,0.000,255,STOP
13871,0,0.000,255,STOP
13981,0,0.000,255,STOP
14091,0,0.000,255,STOP
14186,0,0.000,255,STOP
14287,0,0.000,255,STOP
14384,0,0.000,255,STOP
14473,0,0.000,244,STOP
14577,0,0.000,255,STOP
